name,team,apps,mins,tackles,ints,pos won,blocks,clearances,Ground Duels -total,Ground Duels %,Aerial Duels -total,Aerial Duels %,team_poss,tackles_padj,ints_padj,pos won_padj,blocks_padj,clearances_padj,Ground Duels -total_padj,Aerial Duels -total_padj,tackles_padj_z,ints_padj_z,pos won_padj_z,blocks_padj_z,clearances_padj_z,Ground Duels -total_padj_z,Ground Duels %_z,Aerial Duels -total_padj_z,Aerial Duels %_z,Cluster,Cluster_Name,Cluster_0_%,Cluster_1_%,Cluster_2_%,Cluster_3_%,Max_Percentage
Leo Østigård,Genoa,30,2623,1.24,1.03,2.74,0.89,7.38,3.12,53.8,5.18,71.5,48.8,1.2109375,1.005859375,2.67578125,0.869140625,7.20703125,3.046875,5.05859375,-0.6042698265954128,-0.37459326586547664,-0.7712960889986659,0.9681010103828952,2.0056511770347174,-1.0311970095389245,-0.14920569720819976,1.1251339089229224,1.6923705847724895,2,Aerial Stopper,13.8,15.6,46.4,24.3,46.4
Alessandro Marcandalli,Genoa,32,2599,1.14,0.69,2.8,0.38,3.64,2.98,55.8,3.12,62.2,48.8,1.11328125,0.673828125,2.734375,0.37109375,3.5546875,2.91015625,3.046875,-0.789035705088629,-1.2689659794047494,-0.7214229413920471,-1.2668509922033497,-0.9687610588630167,-1.1386188040057779,0.1563485231383786,-0.49879974681624095,0.5505705322422664,3,Coverage Defender,26.8,18.1,19.7,35.4,35.4
Fikayo Tomori,Milan,33,2563,2.28,1.02,2.6,0.81,3.51,4.74,55.6,1.19,47.1,51.8,2.3651452282157672,1.0580912863070537,2.697095435684647,0.8402489626556016,3.6410788381742734,4.9170124481327795,1.234439834024896,1.5794941912472296,-0.2338992912801559,-0.7531541279744051,0.8384516101840507,-0.8984052898198817,0.4381955981179283,0.1257931011037214,-1.961864335179882,-1.303319875629387,0,Ground Specialist,35.4,20.6,18.0,26.0,35.4
Federico Baschirotto,Cremonese,29,2541,0.92,0.92,2.83,1.17,6.62,3.19,40.0,3.65,55.3,46.6,0.8614232209737829,0.8614232209737829,2.6498127340823974,1.0955056179775282,6.198501872659176,2.9868913857677906,3.417602996254682,-1.2655517497718822,-0.7636522927179316,-0.793399668774383,1.9838987590798385,1.184320457486518,-1.0783269568170515,-2.25752981759959,-0.1995344194722867,-0.296571442215642,3,Coverage Defender,22.3,18.3,26.7,32.7,32.7
Matteo Gabbia,Milan,30,2531,0.75,0.5,2.38,0.78,5.55,1.96,47.3,3.48,65.3,51.8,0.7780082987551866,0.5186721991701244,2.468879668049792,0.8091286307053941,5.757261410788381,2.033195020746888,3.609958506224066,-1.4233729991354636,-1.6869002142280198,-0.9474041745307514,0.6988012043597698,0.8249810528202236,-1.827659253280124,-1.1422569133345795,-0.04425794928670384,0.9311705497523403,3,Coverage Defender,19.7,16.3,26.7,37.3,37.3
Berat Djimsiti,Atalanta,34,2527,1.85,1.53,3.38,0.82,5.52,3.67,61.2,5.2,58.9,55.2,2.064732142857143,1.7075892857142858,3.7723214285714284,0.9151785714285714,6.160714285714286,4.095982142857143,5.803571428571429,1.0111118539452773,1.515614611908701,0.16204424478234197,1.174693212302632,1.1535468313802864,-0.2068991581198034,0.9813449180741411,1.726507398634929,0.14541567489283175,2,Aerial Stopper,15.1,24.7,40.4,19.8,40.4
Alessandro Buongiorno,Napoli,33,2519,1.18,1.43,4.11,0.39,4.04,4.36,48.4,4.11,65.2,59.0,1.4390243902439024,1.7439024390243902,5.01219512195122,0.47560975609756095,4.926829268292683,5.317073170731708,5.01219512195122,-0.17272883819272067,1.613429180456468,1.2173855349966378,-0.7978424131814252,0.14868996556372566,0.7525287873643407,-0.9742020921439611,1.087679223138174,0.9188931298326611,1,Aggressor,18.9,41.1,22.2,17.8,41.1
Mario Gila,Lazio,31,2481,1.67,0.91,4.86,0.58,3.99,4.1,67.3,3.26,64.4,50.4,1.6834677419354838,0.9173387096774194,4.899193548387097,0.5846774193548386,4.022177419354839,4.133064516129032,3.286290322580645,0.2897586177266008,-0.6130360860785086,1.1212021680309854,-0.3084085774320192,-0.5880445021895442,-0.1777630295349825,1.9132852901312043,-0.30553485825348436,0.8206737704752228,1,Aggressor,22.1,28.3,24.0,25.5,28.3
Thomas Kristensen,Udinese,28,2475,0.95,0.91,3.05,0.8,7.2,3.16,47.1,4.65,63.3,45.6,0.8731617647058824,0.8363970588235295,2.8033088235294117,0.7352941176470589,6.61764705882353,2.9044117647058827,4.27389705882353,-1.243342394560184,-0.8310637684503993,-0.6627486500901427,0.36747377093353545,1.5256658115060808,-1.1431323247816958,-1.1728123353692368,0.49169776565059353,0.6856221513587437,3,Coverage Defender,17.8,16.4,31.3,34.5,34.5
Luca Ranieri,Fiorentina,34,2463,1.24,0.88,2.7,0.48,4.64,3.98,61.5,3.0,57.3,51.1,1.2678936605316973,0.899795501022495,2.7607361963190185,0.49079754601226994,4.744376278118609,4.069529652351738,3.067484662576687,-0.49650862302431836,-0.6602911776666962,-0.6989851244729138,-0.7296882229061866,0.00010307353038556776,-0.22768324222098205,1.0271780511261275,-0.48216286619278886,-0.051023043822045595,3,Coverage Defender,22.5,17.0,19.9,40.6,40.6
Marc Oliver Kempf,Como,34,2323,0.81,0.46,3.49,0.77,5.35,3.33,47.7,5.39,66.9,61.6,1.0546875000000002,0.5989583333333335,4.544270833333334,1.0026041666666667,6.966145833333334,4.335937500000001,7.018229166666667,-0.8998952321845584,-1.4706382579479185,0.8191031735679547,1.5670097169582944,1.8094778210129423,-0.01836294742287644,-1.081146069265263,2.7070239748694864,1.1276092684672183,2,Aerial Stopper,17.5,20.8,37.5,24.2,37.5
Jhon Lucumí,Bologna,29,2287,1.61,1.26,5.23,0.55,3.97,4.29,59.6,2.83,58.3,55.2,1.7968750000000002,1.40625,5.837053571428572,0.6138392857142858,4.430803571428572,4.787946428571429,3.1584821428571432,0.5043254443638847,0.7039150063436465,1.9194789699679558,-0.17754665480837278,-0.25526568676837247,0.3367866587736591,0.7369015417968782,-0.4087063401178127,0.07175115537475263,1,Aggressor,16.2,56.6,13.9,13.3,56.6
Christian Kabasele,Udinese,30,2256,0.72,1.44,2.19,0.84,6.26,3.39,54.1,3.99,65.0,45.6,0.6617647058823529,1.3235294117647058,2.012867647058824,0.7720588235294118,5.7536764705882355,3.115808823529412,3.6672794117647065,-1.643306178592558,0.4810955067767687,-1.3355471903519796,0.5324529268337888,0.8220615329923667,-0.9770347602279055,-0.10337256415621236,0.0020136021838442235,0.8943382899933011,3,Coverage Defender,15.4,14.6,32.3,37.6,37.6
